,title,url
45,"신한은행, 신한카드와 서울 자영업자 컨설팅",https://www.sedaily.com/NewsView/22MCVUMCHI
46,"KB국민은행, 샌드박스 게이밍과 네이밍 스폰서십 체결",http://www.womaneconomy.kr/news/articleView.html?idxno=103411
47,"충북대, 신한은행 발전기금 기탁식 열어",http://www.kyosu.net/news/articleView.html?idxno=67360
48,"KB국민은행-샌드박스 게이밍, 네이밍 스폰서십 추가 체결",http://www.techholic.co.kr/news/articleView.html?idxno=198275
49,"신한은행, ‘선물환 거래확인서 비대면 서비스’ 선봬",http://www.cnbnews.com/news/article.html?no=492061
50,"신한금융, 2030년까지 업무車 6만대 무공해차로 전면교체",https://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2021052012552043086
51,"여자농구 하나원큐-신한은행, 2대2 트레이드 단행",http://www.newsis.com/view/?id=NISX20210517_0001443694&cID=10505&pID=10500
52,"은행, 암호화폐 거래소 송곳 검증 예고",http://www.newsis.com/view/?id=NISX20210521_0001448388&cID=10401&pID=10400
53,"KB국민은행, 샌드박스 게이밍과 네이밍 스폰서십 추가 체결",http://www.paxetv.com/news/articleView.html?idxno=117642
54,[5월 4주] 저축은행 정기예금(24개월) 최고 연 1.90%…지주계열 중 NH저축은행 가장 높아,http://www.fntimes.com/html/view.php?ud=202105231227533330ee0209bd21_18
55,"신한은행, ‘선물환 거래확인서 비대면 서비스’ 출시",http://www.ddaily.co.kr/news/article.html?no=214371
56,"신한은행, 선물환 거래확인서 비대면 서비스 출시",http://www.safetimes.co.kr/news/articleView.html?idxno=95487
57,"""1020 잡아라""…Z세대에 문턱 낮추는 은행들",https://www.hankyung.com/economy/article/2021051866351
58,"조용병 신한금융 회장, '제로카본·퓨얼' 선언…전 업무용차 2030년까지 '무공해차' 전환",http://www.newsworks.co.kr/news/articleView.html?idxno=549552
59,"[뉴스투데이 E] 신한금융그룹, 스타트업 네트워킹 프로그램 ‘월간 Find:’ 개최",https://www.news2day.co.kr/article/20210521500118
60,"신한은행, 특성화고-스타트업 인재 매칭을 위한 신한 커리어온 1기 모집",http://www.datanews.co.kr/news/article.html?no=112789
61,"좁아지는 은행 취업문, 문과생은 언제 뽑나?",https://magazine.hankyung.com/business/article/202105186388b
62,"신한은행, 빅데이터 활용해 상권분석 컨설팅",http://www.fnnews.com/news/202105151008332569
63,"신한은행, 선물환 거래 확인서 비대면으로 제출 가능",http://www.efnews.co.kr/news/articleView.html?idxno=90073
64,"특성화고+스타트업···신한은행, '신한 커리어온' 1기 모집",http://www.womaneconomy.kr/news/articleView.html?idxno=103223
65,"신한은행, 자영업자 대상 빅데이터 상권분석 컨설팅 제공",https://view.asiae.co.kr/article/2021051414342998738
66,"신한은행, '쏠 지갑' 출시···코로나19 백신 접종증명도 가능",http://www.koreastocknews.com/news/articleView.html?idxno=63387
67,"신한은행, 청년 취업 지원 플랫폼 통해 신한 커리어온 1기 모집",http://www.insnews.co.kr/design_php/news_view.php?num=65598&firstsec=1&secondsec=17
68,"신한은행, '선물환 거래확인서 비대면 서비스' 출시",http://www.techholic.co.kr/news/articleView.html?idxno=198204
69,"신한은행, 선물환 거래확인서 비대면 서비스 출시",https://www.fetv.co.kr/news/article.html?no=85020
70,커스터디 사업 놓고 속앓이하는 은행,http://www.etnews.com/20210518000145
71,"은행권, 백신경제 동참…백신휴가 '스타트'",https://www.ebn.co.kr/news/view/1484543/?sc=Naver
72,"증권사, 은행과 분기 순이익 대등해져…증시 호황 영향",https://view.asiae.co.kr/article/2021052312152632039
73,"은행권, 채용 봇물…디지털·지역특화 맞춤형 선발 치중",https://daily.hankooki.com/lpage/finance/202105/dh20210520164230148320.htm?s_ref=nv
74,"신한은행, ‘SOL 지갑’출시…백신 접종 증명 서비스도",https://www.inthenews.co.kr/news/article.html?no=34568
75,"신한은행 ""'SOL지갑'으로 활용하세요""",http://www.newsworker.co.kr/news/articleView.html?idxno=114666
76,신한은행 쏠퀴즈·더 겜성퀴즈·신한 페이판 OX 퀴즈 5월21일 정답은?,http://www.newsworks.co.kr/news/articleView.html?idxno=549580
77,"신한은행, 강원도민 비대면 보조금 신청 지원",http://www.fnnews.com/news/202105131502025146
78,"신한은행, 신한카드와 서울 빅데이터 상권분석 컨설팅",https://www.dailian.co.kr/news/view/991601/?sc=Naver
79,"신한금융그룹, 'Zero Carbon·Zero Fuel' 선언",http://www.businesskorea.co.kr/news/articleView.html?idxno=67562
80,"신한은행, 모바일앱에 코로나19 백신접종 증명하는 서비스 내놔",https://www.businesspost.co.kr/BP?command=article_view&num=232413
81,"신한은행, 특성화고-스타트업 인재매칭 위한 '신한 커리어온 1기' 모집",http://www.newsquest.co.kr/news/articleView.html?idxno=84603
82,"신한은행, 특성화고 학생 지원하는 '신한커리어온' 1기 모집",http://www.pinpointnews.co.kr/view.php?ud=2021051810384035209f27410725_45
83,"신한은행, 수출입 기업고객 대상 '선물환 거래확인서 비대면 서비스' 출시",http://www.thefirstmedia.net/news/articleView.html?idxno=75682
84,"신한은행, 선물환 거래확인서 비대면 제출 서비스 출시",http://thepublic.kr/news/newsview.php?ncode=1065605107580762
85,"신한은행, 선물환 거래확인서 비대면 제출 서비스 출시",http://www.pinpointnews.co.kr/view.php?ud=2021051713224987929f27410725_45
86,"신한금융그룹, 제로카본·제로퓨얼 선언",http://it.chosun.com/site/data/html_dir/2021/05/20/2021052001400.html
87,"신한은행, '선물환 거래확인서 비대면 서비스' 출시",http://www.newsquest.co.kr/news/articleView.html?idxno=84561
88,신한은행 “코로나19 백신접종 증명도 ‘SOL지갑’으로 활용하세요”,http://www.nspna.com/news/?mode=view&newsid=503008
89,"은행권, 공채 줄이고 '디지털전환 맞춤형' 채용 방점...디지털 인재상은?",http://www.updownnews.co.kr/news/articleView.html?idxno=231741
90,"신한은행, ‘해외주식 선물하기’ 출시",https://biz.chosun.com/stock/finance/2021/05/10/UB25FG3Z3RDDHB3TZ2RXDERCME/?utm_source=naver&utm_medium=original&utm_campaign=biz
91,"신한금융그룹, '2030년까지 업무용 차량 100% 친환경으로 교체'",http://www.mediasr.co.kr/news/articleView.html?idxno=69019
92,"신한은행·카드, 서울 자영업자 상권분석 컨설팅",http://www.shinailbo.co.kr/news/articleView.html?idxno=1411554
93,"신한은행, ‘선물환 거래확인서 비대면 서비스’ 출시",http://www.lawissue.co.kr/view.php?ud=202105171346027582204ead0791_12
94,`전자금융거래 검증 미흡` 신한銀·한투증권 과태료,http://www.dt.co.kr/contents.html?article_no=2021052002100863048003&ref=naver
95,"""인재를 찾습니다""···신한은행, 신한 커리어온 1기 모집",http://www.globale.co.kr/news/articleView.html?idxno=12833
96,"신한금융, 2023년까지 업무용차 6만여대 무공해차로 교체",http://www.segyebiz.com/newsView/20210520517532?OutUrl=naver
97,서현주 제주은행장 “여성 리더의 지원군 되겠다”,https://www.etoday.co.kr/news/view/2027988
98,"신한금융그룹 , 스타트업 프로그램 개최해 , 취업 연계 양질 프로그램 지원",http://www.cbci.co.kr/news/articleView.html?idxno=415632
99,"[금융사 성과급 잔치 ③은행] 은행권 1분기 평균 급여 최고, 신한은행",http://news.heraldcorp.com/view.php?ud=20210518000187
100,신한은행 디지털 월렛 'SOL 지갑' 출시... 백신예방접종증명서 탑재,http://www.consumernews.co.kr/news/articleView.html?idxno=626902
101,"신한은행, 디지털 월렛 'SOL 지갑' 출시",http://www.cstimes.com/news/articleView.html?idxno=461473
102,"신한은행, 수출입기업 ‘선물환 거래확인서’ 비대면 제출 가능",https://biz.chosun.com/stock/finance/2021/05/17/CYCJW5NAHNE7FB24E7DU4HSJNI/?utm_source=naver&utm_medium=original&utm_campaign=biz
103,신한銀 '특성화고-스타트업 인재매칭' 커리어온 1기 모집,https://www.sedaily.com/NewsView/22MEP7SXXG
104,신한은행 ‘선물환 거래확인서 비대면 서비스’ 출시,https://daily.hankooki.com/lpage/finance/202105/dh20210517102007148320.htm?s_ref=nv
105,"신한금융, 2030년까지 업무용차량 6만여대 무공해차로 전환",https://www.ebn.co.kr/news/view/1484320/?sc=Naver
106,"신한금융, 2030년까지 업무차량 6만여대 무공해차로 교체",http://www.mediapen.com/news/view/629714
107,"신한, 자산·인증 담은 '쏠 지갑' 출시…백신접종 증명 포함",http://www.newsis.com/view/?id=NISX20210520_0001447483&cID=10401&pID=10400
108,"신한금융, 스타트업 네트워킹 프로그램 개최",http://psnews.co.kr/View.aspx?No=1638332
109,"신한은행, ‘경조사비 이체 서비스’ 6년 만에 종료",https://biz.chosun.com/stock/finance/2021/05/20/4TDFEMIMEBE7RHP3QRIRPG6KNE/?utm_source=naver&utm_medium=original&utm_campaign=biz
110,"조용병, 신한금융 업무용 차량 6만 대를 친환경차로 바꾸기로",https://www.businesspost.co.kr/BP?command=article_view&num=232401
111,"신한은행, 'SOL지갑' 출시...코로나19 백신접종 증명 가능",http://www.paxetv.com/news/articleView.html?idxno=117529
112,신한은행 `선물환 거래확인서 비대면 서비스` 출시,http://www.dt.co.kr/contents.html?article_no=2021051702109963077002&ref=naver
113,"신한금융그룹, 'Zero Carbon·Zero Fuel' 선언",http://www.pressm.kr/news/articleView.html?idxno=43733
114,"신한은행, 신한 커리어온 1기 모집",http://www.digitaltoday.co.kr/news/articleView.html?idxno=402892
115,"신한, 자산·인증 담은 '쏠 지갑' 출시…백신접종 증명 포함",http://www.newsis.com/view/?id=NISX20210520_0001447483&cID=10401&pID=10400
116,"신한은행, 디지털 월렛 ‘SOL 지갑’ 선봬",http://www.cnbnews.com/news/article.html?no=492539
117,"신한銀, 선물환거래확인서 비대면 서비스 출시",http://www.edaily.co.kr/news/newspath.asp?newsid=02082806629049904
118,"신한금융, 스타트업 네트워킹 프로그램 개최",http://psnews.co.kr/View.aspx?No=1638332
119,"신한은행, ‘경조사비 이체 서비스’ 6년 만에 종료",https://biz.chosun.com/stock/finance/2021/05/20/4TDFEMIMEBE7RHP3QRIRPG6KNE/?utm_source=naver&utm_medium=original&utm_campaign=biz
120,"신한은행, 디지털 월렛 ‘SOL 지갑’ 선봬",http://www.cnbnews.com/news/article.html?no=492539
121,"신한銀, 선물환거래확인서 비대면 서비스 출시",http://www.edaily.co.kr/news/newspath.asp?newsid=02082806629049904
122,"신한금융, 스타트업 네트워킹 프로그램 개최",http://psnews.co.kr/View.aspx?No=1638332
123,"신한은행, 코로나19 백신접종 증명도 'SOL지갑'에서",https://www.ngetnews.com/news/articleView.html?idxno=400508
124,"신한은행, ‘경조사비 이체 서비스’ 6년 만에 종료",https://biz.chosun.com/stock/finance/2021/05/20/4TDFEMIMEBE7RHP3QRIRPG6KNE/?utm_source=naver&utm_medium=original&utm_campaign=biz
125,"신한은행 '쏠 지갑' 출시…""자산·전자문서 간편 관리""",http://www.newstomato.com/ReadNews.aspx?no=1045654&inflow=N
126,"KB국민은행, 샌드박스 게이밍과 네이밍 스폰서십 추가 체결",http://www.joseilbo.com/news/news_read.php?uid=424163&class=51&grp=
127,"신한은행, 신한 커리어온 1기 모집",http://www.mediapen.com/news/view/629105
128,"신한은행, 신한 커리어온 1기 모집",http://www.newsbrite.net/news/articleView.html?idxno=150420
129,"신한은행, ‘선물환 거래확인서 비대면 서비스’ 출시",https://www.dailian.co.kr/news/view/992008/?sc=Naver
130,"KB국민은행, 샌드박스 게이밍과 네이밍 스폰서십 추가 체결",http://www.joseilbo.com/news/news_read.php?uid=424163&class=51&grp=
131,"신한은행, 신한 커리어온 1기 모집",http://www.mediapen.com/news/view/629105
132,"신한은행, 신한 커리어온 1기 모집",http://www.newsbrite.net/news/articleView.html?idxno=150420
133,"신한은행, ‘선물환 거래확인서 비대면 서비스’ 출시",https://www.dailian.co.kr/news/view/992008/?sc=Naver
134,"[뉴스투데이 E] 신한금융그룹, ‘Zero Carbon·Zero Fuel’ 선언",https://www.news2day.co.kr/article/20210520500204
135,"신한은행 ""선물환 거래확인서도 비대면으로 제출해요""",http://moneys.mt.co.kr/news/mwView.php?no=2021051710468035413
136,신한은행'SOL지갑'출시···백신 접종 증명도 SOL 활용,http://www.datasom.co.kr/news/articleView.html?idxno=114454
137,"KB·하나·우리은행, 가상자산 거래소와 실명 계좌 제휴 안할듯",http://www.viva100.com/main/view.php?key=20210523010004721
138,"신한은행, 디지털 월렛 'SOL 지갑' 출시",http://www.iminju.net/news/articleView.html?idxno=72624
139,"신한금융, 스타트업 네트워킹 '월간 Find:' 개최",http://www.smedaily.co.kr/news/articleView.html?idxno=204075
140,"신한은행, 'SOL 지갑' 출시...""코로나19 백신접종 증명 가능""",http://www.lcnews.co.kr/news/articleView.html?idxno=18163
141,"신한금융, 2030년까지 업무차 6만대 무공해차로 바꾼다",http://www.smedaily.co.kr/news/articleView.html?idxno=203994
142,"신한은행, 신한 커리어온 1기 모집",http://www.cnbnews.com/news/article.html?no=492297
143,"신한은행, 선물환 거래확인서 비대면 서비스 출시",http://www.joseilbo.com/news/news_read.php?uid=423825&class=51&grp=
144,"신한은행, 신한 커리어온 1기 모집",http://www.betanews.net:8080/article/1265157.html
145,"신한은행, 디지털 월렛 'SOL 지갑' 출시",http://www.iminju.net/news/articleView.html?idxno=72624
